Intensity	Wavelength (Å)	Spectrum	Reference	Nominal Q	Volume (Log_1000(Q))
40	6,040	V  I	 DA78	40	0.53
  110 P	6,043	P  II	 M59	110	0.68
1	6,043	Ar I	 N73	1	0.00
30	6,043	Ce II	 C73	30	0.49
100	6,043	Pm I	 RCWM80	100	0.67
100	6,045	Ta I	 MCS75	100	0.67
150	6,047	Ce I	 BWCC91	150	0.73
90	6,049	Pr I	 MCS75	90	0.65
7	6,050	Eu II	 MCS75	7	0.28
  700 P	6,051	Xe II	 H39	700	0.95
 1000 P,l	6,055	Am I	Ft 57	1000	1.00
30	6,055	Sn I	 B64	30	0.49
60	6,055	Lu I	 MCS75	60	0.59
400	6,055	Pr I	 MCS75	400	0.87
 1000 P	6,056	Se II	 G62	1000	1.00
10	6,056	Kr I	 K93	10	0.33
13	6,057	Eu I	 MCS75	13	0.37
90	6,058	Ce I	 M75c	90	0.65
1000	6,059	Cm I	 WHGC76	1000	1.00
1	6,059	Ar I	 N73	1	0.00
50	6,069	Pm I	 RCWM80	50	0.57
40	6,069	Sn I	 B64	40	0.53
90	6,069	Ce I	 M75c	90	0.65
1	6,071	Rb I	 B59	1	0.00
90	6,072	Ce I	 BWCC91	90	0.65
400	6,073	Al II	 KM91b	400	0.87
  100 P	6,074	Ne I	 SS04	100	0.67
  100 c	6,075	I  II	 MC60	100	0.67
  200 P	6,076	Pb II	 WRSH74	200	0.77
200	6,080	Sb II	 C66b	200	0.77
110	6,080	B  II	 O70	110	0.68
  200 P	6,081	Pb II	 WRSH74	200	0.77
40	6,081	V  I	 DA78	40	0.53
20	6,084	Eu I	 MCS75	20	0.43
80	6,085	Tc I	 BMC67	80	0.63
70	6,088	P  II	 M59	70	0.62
  110 P	6,090	V  I	 DA78	110	0.68
90	6,093	Ce I	 M75c	90	0.65
200	6,094	Xe II	 H39	200	0.77
   14 c	6,096	In II	 PC38	14	0.38
30	6,096	Ne I	 SS04	30	0.49
  500 P	6,098	Xe II	 H39	500	0.90
150	6,099	Cd I	 BA56	150	0.73
20	6,099	Eu I	 MCS75	20	0.43
  300 P	6,100	Pm I	 RCWM80	300	0.83
130	6,101	Xe II	 H39	130	0.70
  500 P	6,103	Ca I	 R68	500	0.90
  300 P	6,104	Li I	 REB95	300	0.83
  400* P	6,104	Li I	 REB95	#N/A	#N/A
  400*	6,104	Li I	 REB95	#N/A	#N/A
   12 c	6,109	In II	 PC38	12	0.36
250	6,111	Ba I	 KL99	250	0.80
25	6,112	V  I	 DA78	25	0.47
90	6,114	Gd I	 MCS75	90	0.65
30	6,115	Ar II	 N73	30	0.49
30	6,115	Xe II	 H39	30	0.49
11	6,119	Eu I	 MCS75	11	0.35
50	6,120	V  I	 DA78	50	0.57
250	6,120	K  II	 D26	250	0.80
100	6,121	Tc I	 BMC67	100	0.67
  600 P	6,122	Ca I	 R68	600	0.93
120	6,124	Ce I	 BWCC91	120	0.69
  200 P	6,127	Zr I	 J98	200	0.77
  100 c	6,127	I  II	 MC60	100	0.67
10	6,128	Ne I	 SS04	10	0.33
100	6,129	Cs II	 S81	100	0.67
   13 w	6,129	In II	 PC38	13	0.37
   13 w	6,129	In II	 PC38	13	0.37
  300 P	6,130	Sb II	 C66b	300	0.83
100	6,131	Tc I	 BMC67	100	0.67
   20 w	6,132	In II	 PC38	20	0.43
25	6,135	V  I	 DA78	25	0.47
  300 P	6,142	Ba II	 KL99	300	0.83
  100 P	6,143	Ne I	 SS04	100	0.67
130	6,143	Zr I	 J98	130	0.70
15	6,146	Hg II	 SR01	15	0.39
30	6,146	Xe II	 H39	30	0.49
  150*	6,148	Pr I	 MCS75	#N/A	#N/A
  150*	6,148	Pr II	 MCS75	#N/A	#N/A
500	6,149	Br I	 T63	500	0.90
  250 P,c	6,149	Hg II	 SR01	250	0.80
40	6,150	Sn I	 B64	40	0.53
400	6,150	Cu II	 R69	400	0.87
  200 h	6,152	Pm I	 RCWM80	200	0.77
500	6,154	Cu II	 R69	500	0.90
2	6,154	Na I	 R56	2	0.10
20	6,154	Sn I	 B64	20	0.43
40	6,155	Si I	 RA65	40	0.53
130	6,156	O  I	 M75b	130	0.70
150	6,157	O  I	 M75b	150	0.73
150	6,158	O  I	 M75b	150	0.73
50	6,160	Pb II	 S75	50	0.57
3	6,161	Na I	 R56	3	0.16
  600 P	6,162	Ca I	 R68	600	0.93
300	6,163	Pa I	 BW92b	300	0.83
  100 P	6,164	Ne I	 SS04	100	0.67
  200 l	6,165	Ac II	 MFT57	200	0.77
70	6,166	P  II	 M59	70	0.62
   30 l	6,168	Ac II	 MFT57	30	0.49
500	6,169	Ca I	 R68	500	0.90
600	6,170	Ca I	 R68	600	0.93
  100 P	6,170	Th I	 PE83	100	0.67
500	6,170	As II	 LA71	500	0.90
50	6,172	Ar II	 N73	50	0.57
6	6,173	Eu II	 MCS75	6	0.26
15	6,178	Xe I	 HM33	15	0.39
10	6,179	Eu I	 MCS75	10	0.33
12	6,180	Xe I	 HM33	12	0.36
15	6,182	Ne I	 SS04	15	0.39
30	6,182	Xe I	 HM33	30	0.49
80	6,183	Th I	 PE83	80	0.63
  400 h	6,183	Al II	 KM91b	400	0.87
90	6,186	Ce I	 BWCC91	90	0.65
   25 c,w	6,188	Eu I	 MCS75	25	0.47
120	6,192	Y  I	 P77	120	0.69
80	6,193	Tc I	 BMC67	80	0.63
500	6,193	Pu I	 BFG84	500	0.90
150	6,194	Xe II	 H39	150	0.73
13	6,195	Eu I	 MCS75	13	0.37
10	6,198	Xe I	 HM33	10	0.33
60	6,199	P  I	 S80	60	0.59
   11 c	6,199	Rb II	 R75	11	0.35
40	6,199	V  I	 DA78	40	0.53
  300 P	6,200	Ra I	 R34b	300	0.83
400	6,201	Al II	 KM91b	400	0.87
    1 c	6,206	Rb I	 B59	1	0.00
90	6,209	Ce I	 BWCC91	90	0.65
25	6,211	Sc I	 AV77	25	0.47
15	6,213	Cs I	 K62b	15	0.39
40	6,215	Zn II	 GL00	40	0.53
300	6,216	Pa I	 BW92b	300	0.83
40	6,216	V  I	 DA78	40	0.53
500	6,217	Cu II	 R69	500	0.90
  100 P	6,217	Ne I	 SS04	100	0.67
3	6,218	Cs I	 K62b	3	0.16
500	6,220	Cu II	 R69	500	0.90
   25 P	6,221	Er I	 M64b	25	0.47
  120 P	6,222	Lu II	 MCS75	120	0.69
30	6,223	Y  I	 P77	30	0.49
   15 w	6,228	In II	 PC38	15	0.39
90	6,229	Ce I	 M75c	90	0.65
50	6,230	Pm I	 RCWM80	50	0.57
40	6,231	V  I	 DA78	40	0.53
40	6,237	Si I	 RA65	40	0.53
  130 P	6,240	F  I	 L49	130	0.70
14	6,240	Sc I	 AV77	14	0.38
100	6,243	Ac II	 MFT57	100	0.67
60	6,243	V  I	 DA78	60	0.59
8	6,243	Ar II	 N73	8	0.30
1000	6,243	Cm I	 WHGC76	1000	1.00
  400 P	6,243	Al II	 KM91b	400	0.87
30	6,244	Si I	 RA65	30	0.49
   60 c	6,244	Tc I	 BMC67	60	0.59
30	6,244	Si I	 RA65	30	0.49
50	6,248	Fe II	 RMW44	50	0.57
 1000 P	6,250	La I	 MCS75	1000	1.00
25	6,252	V  I	 DA78	25	0.47
40	6,254	Si I	 RA65	40	0.53
50	6,258	Ti I	 F91	50	0.57
50	6,259	Ti I	 F91	50	0.57
11	6,259	Sc I	 AV77	11	0.35
15	6,259	Dy I	 NG00	15	0.39
40	6,261	Ti I	 F91	40	0.53
20	6,262	Eu I	 MCS75	20	0.43
  100 P	6,266	Ne I	 SS04	100	0.67
150	6,271	Xe II	 H39	150	0.73
13	6,272	Ce II	 C73	13	0.37
700	6,273	Cu II	 R69	700	0.95
130	6,278	Xe II	 H39	130	0.70
   50 P	6,278	Au I	 ED71	50	0.57
30	6,284	Xe II	 H39	30	0.49
10	6,286	Xe I	 HM33	10	0.33
100	6,286	Pm I	 RCWM80	100	0.67
90	6,296	Ce I	 BWCC91	90	0.65
    1 c	6,298	Rb I	 B59	1	0.00
15	6,300	Eu I	 MCS75	15	0.39
80	6,301	Xe II	 H39	80	0.63
600	6,301	Cu II	 R69	600	0.93
4	6,303	Eu II	 MCS75	4	0.20
  800 P	6,305	Pu I	 BFG84	800	0.97
10	6,305	Ne I	 SS04	10	0.33
   15 w	6,305	In II	 PC38	15	0.39
30	6,306	Sc I	 AV77	30	0.49
250	6,307	K  II	 D26	250	0.80
50	6,308	Pm I	 RCWM80	50	0.57
90	6,310	Ce I	 BWCC91	90	0.65
50	6,318	Xe I	 HM33	50	0.57
5	6,318	Pt I	 MCS75	5	0.23
  120 c	6,322	Pr I	 MCS75	120	0.69
100	6,324	Pm I	 RCWM80	100	0.67
5	6,327	Pt I	 MCS75	5	0.23
30	6,328	Ne I	 SS04	30	0.49
 1000 P	6,334	Ga II	 IL85	1000	1.00
100	6,334	Ne I	 SS04	100	0.67
400	6,336	Al II	 KM91b	400	0.87
130	6,344	Xe II	 H39	130	0.70
10	6,347	Mg II	 KM91a	10	0.33
  130 P	6,347	Si II	 S61b	130	0.70
  100 P	6,349	F  I	 L49	100	0.67
   11 c,w	6,350	Eu I	 MCS75	11	0.35
800	6,351	Br I	 T63	800	0.97
    5 c	6,355	Cs I	 K62b	5	0.23
400	6,355	Cd II	 SP49	400	0.87
200	6,356	Xe II	 H39	200	0.77
  300 l	6,359	Pa I	 BW92b	300	0.83
  140 c	6,359	Pr I	 MCS75	140	0.72
  300 P	6,360	Ac I	 MFT57	300	0.83
500	6,360	Cd II	 SP49	500	0.90
   15 w	6,362	In II	 PC38	15	0.39
   30 P	6,362	Zn I	 GL00	30	0.49
  100 P	6,371	Si II	 S61b	100	0.67
70	6,375	Xe II	 H39	70	0.62
 1000 P	6,377	Cm I	 WHGC76	1000	1.00
500	6,378	Cu II	 R69	500	0.90
300	6,379	Pa I	 BW92b	300	0.83
  100 P	6,383	Ne I	 SS04	100	0.67
1	6,385	Ar I	 N73	1	0.00
50	6,390	Pm I	 RCWM80	50	0.57
110	6,393	Pr I	 MCS75	110	0.68
  600 P	6,394	La I	 MCS75	600	0.93
100	6,397	Ga I	 JL67	100	0.67
30	6,398	Xe II	 H39	30	0.49
   11 c,w	6,401	Eu I	 MCS75	11	0.35
  200 P	6,402	Ne I	 SS04	200	0.77
  100 l	6,405	Am I	Ft 57	100	0.67
  140 P	6,408	Sr I	 MCS75	140	0.72
15	6,410	Eu I	 MCS75	15	0.39
300	6,411	La I	 MCS75	300	0.83
140	6,411	Pr I	 MCS75	140	0.72
13	6,411	Eu I	 MCS75	13	0.37
70	6,413	Ga I	 JL67	70	0.62
80	6,414	F  I	 L49	80	0.63
2	6,416	Ar I	 N73	2	0.10
  900 P	6,419	Ga II	 IL85	900	0.98
100	6,420	Kr II	 DHM33	100	0.67
15	6,421	Kr I	 K93	15	0.39
600	6,424	Cu II	 R69	600	0.93
90	6,430	Ce I	 M75c	90	0.65
100	6,431	Ta I	 MCS75	100	0.67
  500 h	6,432	Pm I	 RCWM80	500	0.90
100	6,435	Y  I	 P77	100	0.67
14	6,438	Eu II	 MCS75	14	0.38
 1000 P	6,438	Cd I	 BA56	1000	1.00
  300 l	6,439	Pa I	 BW92b	300	0.83
  700 P	6,439	Ca I	 R68	700	0.95
800	6,444	Se II	 G62	800	0.97
200	6,446	Ra I	 R34b	200	0.77
500	6,449	Cu II	 R69	500	0.90
500	6,450	Pu I	 BFG84	500	0.90
600	6,450	Ca I	 R68	600	0.93
80	6,450	Ta I	 MCS75	80	0.63
   50 P	6,454	Sn II	 B64	50	0.57
  800 P	6,456	Ga II	 IL85	800	0.97
100	6,456	Tc I	 BMC67	100	0.67
130	6,456	O  I	 M75b	130	0.70
300	6,456	La I	 MCS75	300	0.83
30	6,456	Kr I	 K93	30	0.49
120	6,456	Fe II	 RMW44	120	0.69
300	6,457	Ca II	 ER56	300	0.83
  100 P	6,457	Th I	 PE83	100	0.67
11	6,458	Eu I	 MCS75	11	0.35
90	6,458	Ce I	 BWCC91	90	0.65
  110 P	6,458	Rb II	 R75	110	0.68
  130 P	6,460	P  II	 M59	130	0.70
20	6,460	Tm I	 SMC73	20	0.43
   60 c	6,462	Tc I	 BMC67	60	0.59
  700 P	6,463	Ca I	 R68	700	0.95
80	6,463	Th I	 PE83	80	0.63
60	6,463	Lu II	 MCS75	60	0.59
400	6,465	Cd II	 SP49	400	0.87
   15 w	6,469	In II	 PC38	15	0.39
30	6,470	Xe I	 HM33	30	0.49
600	6,470	Cu II	 R69	600	0.93
600	6,472	Ca I	 R68	600	0.93
15	6,473	Xe I	 HM33	15	0.39
500	6,481	Cu II	 R69	500	0.90
   40 P	6,482	N  II	 M75a	40	0.53
90	6,483	N  I	 M75a	90	0.65
8	6,483	Ar II	 N73	8	0.30
150	6,485	Ta I	 MCS75	150	0.73
120	6,487	Pr I	 MCS75	120	0.69
  800 P	6,487	Pu I	 BFG84	800	0.97
200	6,487	Ra I	 R34b	200	0.77
12	6,488	Xe I	 HM33	12	0.36
 1000 P	6,489	Pu I	 BFG84	1000	1.00
20	6,489	Yb I	 MT78	20	0.43
  110 h	6,492	Pr I	 MCS75	110	0.68
  600 P	6,494	Ca I	 R68	600	0.93
80	6,496	Cs II	 S81	80	0.63
  200 P	6,497	Ba II	 KL99	200	0.77
10	6,499	Xe I	 HM33	10	0.33
  250 P	6,499	Ba I	 KL99	250	0.80
600	6,500	Ca I	 R68	600	0.93
  130 P	6,503	P  II	 M59	130	0.70
   80 P	6,504	Sr I	 MCS75	80	0.63
   20 h	6,504	Xe I	 HM33	20	0.43
  150 P	6,507	Ne I	 SS04	150	0.73
  130 P	6,508	P  II	 M59	130	0.70
100	6,513	Xe II	 H39	100	0.67
50	6,514	Na II	 W71	50	0.57
50	6,517	Pm I	 RCWM80	50	0.57
  300 P,d	6,520	Pm I	 RCWM80	300	0.83
6	6,523	Pt I	 MCS75	6	0.26
  110 P	6,527	Ba I	 KL99	110	0.68
70	6,529	Xe II	 H39	70	0.62
70	6,531	Na II	 W71	70	0.62
   80 h	6,531	Th I	 PE83	80	0.63
10	6,533	Ne I	 SS04	10	0.33
10	6,533	Xe I	 HM33	10	0.33
500	6,535	Pu I	 BFG84	500	0.90
  100 w	6,536	Cs II	 S81	100	0.67
   12 c	6,541	In II	 PC38	12	0.36
50	6,542	Pm I	 RCWM80	50	0.57
200	6,543	La I	 MCS75	200	0.77
70	6,544	Na II	 W71	70	0.62
   50 l	6,544	Am I	Ft 57	50	0.57
500	6,544	Pu I	 BFG84	500	0.90
250	6,545	Br I	 T63	250	0.80
70	6,546	Na II	 W71	70	0.62
   11 d	6,546	Mg II	 KM91a	11	0.35
12	6,548	Be II	 J61a	12	0.36
25	6,550	Sr I	 MCS75	25	0.47
1000	6,554	Cm I	 WHGC76	1000	1.00
11	6,556	Rb II	 R75	11	0.35
80	6,556	Ce I	 BWCC91	80	0.63
12	6,558	Be II	 J61a	12	0.36
  700 c	6,560	Br I	 T63	700	0.95
    8 c	6,560	He II	 GM65	8	0.30
60	6,561	Rb II	 R75	60	0.59
9	6,563	Au I	 ED71	9	0.32
   90 P	6,563	H  I	 MK00a	90	0.65
   30 P	6,563	H  I	 MK00a	30	0.49
  180 P	6,563	H  I	 MK00a	180	0.75
50	6,570	Kr II	 DHM33	50	0.57
  500 P	6,573	Ca I	 R68	500	0.90
  400 P	6,578	C  II	 MG93	400	0.87
200	6,579	La I	 MCS75	200	0.77
250	6,582	Br I	 T63	250	0.80
300	6,583	C  II	 MG93	300	0.83
8	6,587	Cs I	 K62b	8	0.30
300	6,595	Xe II	 H39	300	0.83
  100 P	6,595	Ba I	 KL99	100	0.67
10	6,596	Xe I	 HM33	10	0.33
130	6,597	Xe II	 H39	130	0.70
  400 P	6,598	Pm I	 RCWM80	400	0.87
80	6,599	Pm I	 RCWM80	80	0.63
30	6,599	Xe II	 H39	30	0.49
  100 P	6,599	Ne I	 SS04	100	0.67
  400 h	6,600	Bi II	 DLW02	400	0.87
   30 P	6,605	Ho I	 MZH78	30	0.49
70	6,606	Pm I	 RCWM80	70	0.62
500	6,609	Pu I	 BFG84	500	0.90
   40 P	6,611	N  II	 M75a	40	0.53
140	6,617	Pr I	 MCS75	140	0.72
50	6,617	Sr I	 MCS75	50	0.57
70	6,620	I  I	 KC59	70	0.62
1000	6,623	Cf I	 RCWM80	1000	1.00
500	6,624	Cu II	 R69	500	0.90
   80 w	6,625	Pm I	 RCWM80	80	0.63
50	6,627	Rn I	 R33	50	0.57
2	6,629	Cs I	 EW70	2	0.10
1000	6,631	Cf I	 RCWM80	1000	1.00
  700 c	6,632	Br I	 T63	700	0.95
8	6,638	Ar II	 N73	8	0.30
7	6,640	Ar II	 N73	7	0.28
1000	6,640	Cm I	 WHGC76	1000	1.00
500	6,641	Cu II	 R69	500	0.90
15	6,644	Ar II	 N73	15	0.39
25	6,645	Eu II	 MCS75	25	0.47
90	6,647	Cs II	 S81	90	0.65
70	6,650	Pm I	 RCWM80	70	0.62
15	6,652	Ne I	 SS04	15	0.39
400	6,659	Pm II	 RCWM80	400	0.87
  250 P,c	6,660	Pb II	 WRSH74	250	0.80
   13 c,w	6,661	Nb I	 MCS75	13	0.37
50	6,662	Pm I	 RCWM80	50	0.57
8	6,666	Ar II	 N73	8	0.30
   80 c	6,668	Pm I	 RCWM80	80	0.63
10	6,668	Yb I	 MT78	10	0.33
15	6,669	Xe I	 HM33	15	0.39
50	6,675	Ba I	 KL99	50	0.57
3	6,677	Ar I	 N73	3	0.16
   70 h	6,677	Pm I	 RCWM80	70	0.62
1000	6,678	Cf I	 RCWM80	1000	1.00
  200 P	6,678	He I	 M02	200	0.77
50	6,678	Ne I	 SS04	50	0.57
250	6,682	Br I	 T63	250	0.80
12	6,684	Ar II	 N73	12	0.36
50	6,686	Pm I	 RCWM80	50	0.57
50	6,686	Pm I	 RCWM80	50	0.57
1000	6,687	Cm I	 WHGC76	1000	1.00
15	6,688	Y  I	 P77	15	0.39
20	6,690	F  I	 L49	20	0.43
  200 P,l	6,691	Ac I	 MFT57	200	0.77
130	6,692	Br I	 T63	130	0.70
   50 P	6,694	Ba I	 KL99	50	0.57
100	6,694	Xe II	 H39	100	0.67
40	6,696	Al I	 KM91b	40	0.53
10	6,699	Kr I	 K93	10	0.33
60	6,700	Pm I	 RCWM80	60	0.59
90	6,704	Ce I	 BWCC91	90	0.65
 1000 P	6,707	Cm I	 WHGC76	1000	1.00
  500 P	6,708	Li I	 REB95	500	0.90
 1000 P	6,708	Li I	 REB95	1000	1.00
7	6,710	Pt I	 MCS75	7	0.28
70	6,715	Pm I	 RCWM80	70	0.62
7	6,717	Ne I	 SS04	7	0.28
50	6,717	Pm I	 RCWM80	50	0.57
600	6,718	Ca I	 R68	600	0.93
50	6,721	Pm I	 RCWM80	50	0.57
   50 c	6,723	Cs I	 S81	50	0.57
100	6,724	Cs II	 S81	100	0.67
500	6,726	Cd II	 SP49	500	0.90
1000	6,727	Cm I	 WHGC76	1000	1.00
70	6,728	Pm I	 RCWM80	70	0.62
20	6,728	Xe I	 HM33	20	0.43
60	6,744	Pm I	 RCWM80	60	0.59
   90 c	6,747	Pr I	 MCS75	90	0.65
90	6,750	Pm I	 RCWM80	90	0.65
90	6,750	Pm I	 RCWM80	90	0.65
70	6,752	Rn I	 R33	70	0.62
4	6,753	Ar I	 N73	4	0.20
40	6,757	S  I	 KM93	40	0.53
13	6,760	Pt I	 MCS75	13	0.37
300	6,772	Pm II	 RCWM80	300	0.83
70	6,774	F  I	 L49	70	0.62
   30 l	6,775	Rb II	 R75	30	0.49
50	6,789	Xe II	 H39	50	0.57
30	6,790	Xe II	 H39	30	0.49
   30 P	6,791	Sr I	 MCS75	30	0.49
  300 h	6,793	Pa I	 BW92b	300	0.83
1000	6,793	Cm I	 WHGC76	1000	1.00
20	6,794	Y  I	 P77	20	0.43
25	6,795	Tb II	 MCS75	25	0.47
  140 c,w	6,799	Pr I	 MCS75	140	0.72
   40 P	6,800	Yb I	 MT78	40	0.53
13	6,803	Eu I	 MCS75	13	0.37
300	6,806	Xe II	 H39	300	0.83
  500 h	6,809	Bi II	 DLW02	500	0.90
200	6,813	I  II	 MC60	200	0.77
3	6,825	Cs I	 EW70	3	0.16
30	6,827	U  I	 PKE80	30	0.49
20	6,827	Xe I	 HM33	20	0.43
80	6,833	Pm I	 RCWM80	80	0.63
90	6,834	F  I	 L49	90	0.65
40	6,843	Pt I	 MCS75	40	0.53
   30 P	6,844	Sn II	 B64	30	0.49
  500 P	6,856	F  I	 L49	500	0.90
7	6,861	Ar II	 N73	7	0.28
30	6,865	Eu I	 MCS75	30	0.49
9	6,866	Ba I	 KL99	9	0.32
80	6,866	Ta I	 MCS75	80	0.63
3	6,867	He I	 M60a	3	0.16
80	6,870	F  I	 L49	80	0.63
5	6,870	Cs I	 EW70	5	0.23
4	6,871	Ar I	 N73	4	0.20
10	6,872	Xe I	 HM33	10	0.33
   70 P	6,878	Sr I	 MCS75	70	0.62
30	6,882	Xe I	 HM33	30	0.49
  800 P	6,888	Pu I	 BFG84	800	0.97
   20 P,w	6,892	In II	 PC38	20	0.43
   20 P	6,893	Sr I	 MCS75	20	0.43
1000	6,895	Cf I	 RCWM80	1000	1.00
  150 P	6,902	F  I	 L49	150	0.73
15	6,905	Kr I	 K93	15	0.39
60	6,910	F  I	 L49	60	0.59
25	6,910	Xe II	 H39	25	0.47
800	6,911	K  I	 R56	800	0.97
80	6,925	Ce I	 BWCC91	80	0.63
10	6,926	Xe I	 HM33	10	0.33
 1000 P	6,927	Cf II	 RCWM80	1000	1.00
 1000 P	6,929	Ne I	 SS04	1000	1.00
  300 P,s	6,930	Np I	 FTBC76	300	0.83
500	6,936	K  I	 R56	500	0.90
1	6,938	Ar I	 N73	1	0.00
800	6,939	K  I	 R56	800	0.97
  250 h	6,942	Xe II	 H39	250	0.80
 1000 P	6,946	Pa I	 BW92b	1000	1.00
400	6,956	Cs II	 S81	400	0.87
   50 s	6,956	Am I	Ft 57	50	0.57
300	6,960	Pa I	 BW92b	300	0.83
  300 h	6,962	Pa I	 BW92b	300	0.83
300	6,964	K  I	 R56	300	0.83
500	6,965	K  I	 R56	500	0.90
  300 P	6,965	Ar I	 N73	300	0.83
40	6,966	F  I	 L49	40	0.53
 1000 P,s	6,972	Np I	 FTBC76	1000	1.00
80	6,973	Cs I	 K62b	80	0.63
10	6,976	Xe I	 HM33	10	0.33
150	6,980	Cs II	 S81	150	0.73
200	6,980	Ra I	 R34b	200	0.77
10	6,983	Be I	 KM97	10	0.33
15	6,983	Cs I	 K62b	15	0.39
80	6,986	Ce I	 BWCC91	80	0.63
   90 P	6,990	Th I	 PE83	90	0.65
700	6,991	Xe II	 H39	700	0.95
  300 s	6,993	Pa I	 BW92b	300	0.83
150	7,002	O  I	 M75b	150	0.73
40	7,004	Si I	 RA65	40	0.53
130	7,005	Br I	 T63	130	0.70
40	7,006	Si I	 RA65	40	0.53
300	7,024	Ne I	 SS04	300	0.83
4	7,030	Ar I	 N73	4	0.20
  800 P	7,032	Ne I	 SS04	800	0.97
60	7,035	Si I	 RA65	60	0.59
  500 P	7,037	F  I	 L49	500	0.90
11	7,040	Eu I	 MCS75	11	0.35
 1000 l	7,041	Bk I	 WC78	1000	1.00
20	7,051	Ne I	 SS04	20	0.43
  700 P	7,055	Rn I	 R33	700	0.95
100	7,059	Ne I	 SS04	100	0.67
  200 P	7,060	Ba I	 KL99	200	0.77
10	7,062	Ce II	 C73	10	0.33
300	7,062	Se I	 E72	300	0.83
  100 P	7,065	He I	 M02	100	0.67
   60 P	7,065	He I	 M02	60	0.59
   20 P	7,066	He I	 M02	20	0.43
  300 P	7,067	Ar I	 N73	300	0.83
3	7,069	Ar I	 N73	3	0.16
   80 P	7,070	Sr I	 MCS75	80	0.63
 1000 l	7,075	Cf I	 RCWM80	1000	1.00
300	7,076	Pa I	 BW92b	300	0.83
6	7,077	Eu II	 MCS75	6	0.26
25	7,082	Hg I	 F54	25	0.47
50	7,082	Xe II	 H39	50	0.57
10	7,086	Ce II	 C73	10	0.33
  150 P	7,098	Zr I	 J98	150	0.73
  300 h	7,101	Pa I	 BW92b	300	0.83
80	7,103	Zr I	 J98	80	0.63
1	7,107	Ar I	 N73	1	0.00
1000	7,108	Bk I	 WC78	1000	1.00
13	7,114	Pt I	 MCS75	13	0.37
 1000 P,s	7,115	Pa I	 BW92b	1000	1.00
200	7,119	Ra I	 R34b	200	0.77
50	7,120	Xe I	 HM33	50	0.57
30	7,120	Ba I	 KL99	30	0.49
1	7,126	Ar I	 N73	1	0.00
  300 P	7,128	F  I	 L49	300	0.83
250	7,132	Hf I	 MCS75	250	0.80
  500 P	7,141	Ra I	 R34b	500	0.90
30	7,147	Ar I	 N73	30	0.49
   15 s	7,148	Xe II	 H39	15	0.39
700	7,148	Ca I	 R68	700	0.95
70	7,149	Xe II	 H39	70	0.62
  130 w	7,150	Cs II	 S81	130	0.70
 1000 P	7,163	Cm I	 WHGC76	1000	1.00
150	7,165	Xe II	 H39	150	0.73
50	7,166	Si I	 RA65	50	0.57
50	7,169	Th I	 PE83	50	0.57
  150 P	7,169	Zr I	 J98	150	0.73
  300 h	7,172	Pa I	 BW92b	300	0.83
  800 P	7,174	Ne I	 SS04	800	0.97
	7,180	Fr I	 ABDJ90	#N/A	#N/A
130	7,180	F  II	 P69	130	0.70
   20 P,w	7,183	In II	 PC38	20	0.43
20	7,191	Sn II	 B64	20	0.43
100	7,194	Pb II	 S75	100	0.67
10	7,195	Eu II	 MCS75	10	0.33
9	7,195	Ba I	 KL99	9	0.32
600	7,202	Ca I	 R68	600	0.93
  150 P	7,202	F  I	 L49	150	0.73
2	7,207	Ar I	 N73	2	0.10
60	7,208	Th I	 PE83	60	0.59
10	7,209	Be I	 KM97	10	0.33
30	7,209	Ti I	 F91	30	0.49
  130 h	7,212	F  II	 P69	130	0.70
80	7,213	Kr II	 DHM33	80	0.63
150	7,213	Ne II	 P71	150	0.73
10	7,218	Eu II	 MCS75	10	0.33
15	7,224	Kr I	 KH69	15	0.39
200	7,225	Ra I	 R34b	200	0.77
300	7,227	Pa I	 BW92b	300	0.83
13	7,229	Cs I	 EW70	13	0.37
4	7,229	Pb I	 WA68	4	0.20
  400 P	7,231	C  II	 MG93	400	0.87
150	7,235	Ne II	 P71	150	0.73
  500 P	7,236	C  II	 MG93	500	0.90
  300 P	7,237	Hf I	 MCS75	300	0.83
200	7,241	Hf I	 MCS75	200	0.77
  800 P	7,245	Ne I	 SS04	800	0.97
40	7,251	Si I	 RA65	40	0.53
1000	7,253	Bk I	 WC78	1000	1.00
90	7,253	Ce I	 BWCC91	90	0.65
130	7,254	O  I	 M75b	130	0.70
150	7,254	O  I	 M75b	150	0.73
40	7,257	Cl I	 RK69	40	0.53
500	7,258	Pu I	 BFG84	500	0.90
  300 P	7,268	Rn I	 R33	300	0.83
60	7,273	Ar I	 N73	60	0.59
40	7,275	Si I	 RA65	40	0.53
   12 c	7,277	In II	 PC38	12	0.36
2	7,280	Cs I	 EW70	2	0.10
20	7,280	Cs I	 EW70	20	0.43
    1 l	7,280	Rb I	 B59	1	0.00
  150 P	7,280	Ba I	 KL99	150	0.73
50	7,281	He I	 M60a	50	0.57
30	7,284	Xe II	 H39	30	0.49
13	7,287	Kr I	 KH69	13	0.37
  100 P	7,289	Si I	 MKMD94	100	0.67
130	7,290	Kr II	 DHM33	130	0.70
  300 P	7,290	Ac I	 MFT57	300	0.83
70	7,291	Rn I	 R33	70	0.62
9	7,301	Eu II	 MCS75	9	0.32
70	7,302	Xe II	 H39	70	0.62
1000	7,307	Bk I	 WC78	1000	1.00
 1000 s	7,308	Cf I	 RCWM80	1000	1.00
40	7,309	Sr I	 MCS75	40	0.53
